TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.08256,435041.1,271760.2,588084.1,265959.7,874.5505,1939.84,2243.277,1795.36,261.5681,330.4
0.08419429,429852.6,293142.1,350909.7,173640.3,622.827,1402.24,365.0819,608.16,349.8549,561.12
0.08460572,392234.9,276482.1,347079.7,185033,936.3361,1574.72,825.826,876.96,483.368,563.36
0.08485714,289131.8,210899.4,309643.6,207399.4,1440.065,2033.92,12541.21,12387.2,398.0812,630.56
0.08554286,507623.4,333717.4,553641.5,270917.9,837.4467,1862.56,4515.396,3800.16,691.4355,752.64
0.08654857,494057.1,309049.4,526796.3,222498.1,934.7332,1824.48,647.0538,626.08,334.866,570.08
0.08753143,607375.1,424413.9,425849.3,226445,1155.764,2396.8,25665.01,20833.12,323.3103,500.64
0.08874286,415367.3,284551.7,462893.6,233152.6,-101.9435,937.44,455.6539,362.88,263.6907,393.12
0.08958858,408119.9,285956.2,375149.3,218557.9,931.2784,1641.92,515.5009,622.72,176.2162,332.64
0.09014857,247388.6,199096.8,247737.2,195002.1,317.4729,1348.48,319.3898,434.56,131.5096,487.2
0.09329143,306366.7,309228.7,156396.1,106796.5,699.7097,1096.48,93.95093,268.8,13.89499,276.64
0.09707429,364219.3,235872,383523.5,208756.8,877.9728,1708,331.7253,339.36,384.966,527.52
0.09740572,357860.3,295593.8,306627.9,199028.5,827.5588,1412.32,19374.39,19772.48,437.1561,512.96
0.09851429,634234.9,564492.3,406079.6,264333.4,1006.19,1588.16,25196.12,23362.08,601.9141,780.64
0.1004,463775.8,307186.9,483830.3,259320.3,1424.372,1766.24,389.3088,545.44,221.6376,543.2
0.1032571,342548.8,336049.3,261285.8,183924.2,1343.504,1721.44,143.8451,246.4,360.1976,603.68
0.1047886,408604.6,331031.7,286885.2,165774.6,288.0801,1199.52,14155.82,13545.28,202.2301,635.04
0.1057829,577073.5,507167.4,339333.7,222385,1966.612,2449.44,26200.87,24298.4,378.7495,656.32
0.1064457,424029.7,372196.2,358499.7,265540.8,1574.52,1435.84,483.693,714.56,386.0273,644
0.1137714,384178,264232.7,392971.1,188568.8,1200.872,1361.92,272.8638,392,140.1954,544.32
0.1180229,249657.7,200772.3,231477.3,140325.9,1216.575,1765.12,393.3268,449.12,262.1745,571.2
0.1185829,397862.4,324582.7,283835.2,175228.5,559.8717,1258.88,23044.67,22210.72,219.6557,564.48
0.1190743,402462.3,346447.4,359026.4,255188.6,1340.309,2141.44,22510.1,21960.96,421.7016,495.04
0.1203429,292515.1,250178.9,291844.9,192403.7,978.4651,1680,9268.316,9578.24,501.9741,660.8
0.1208571,330926.9,260309.3,333301.6,212679,521.3058,904.96,17990.86,17982.72,4.353692,267.68
0.1229486,212009.1,202189.1,195344.3,140575.7,158.1625,1440.32,219.5907,351.68,523.9375,672
0.1238971,441172.8,301842.3,396413.8,185662.4,1155.504,1277.92,251.9618,360.64,312.0362,549.92
0.1246629,271635.6,211696.8,269873.8,193486.7,275.0407,1163.68,881.4167,1199.52,280.629,507.36
0.1252,240320.2,214422.9,186254.4,128009.3,996.064,1667.68,401.0161,434.56,299.365,353.92
0.1260686,285820.5,248260.3,225493,173662.7,1083.961,1281.28,286.9321,523.04,216.2009,743.68
0.1268114,316456.8,217943,339776.8,202863.4,1526.9,1864.8,352.0642,371.84,234.6228,380.8
0.1274629,422500.5,290030.7,321198.2,183108.8,721.5864,1814.4,491.8697,491.68,226.197,384.16
0.1281143,386211.9,275998.3,399673.3,253536.6,238.5433,1529.92,649.9238,642.88,289.9753,756
0.12824,307741.2,248623.2,287605.6,194891.2,653.5194,1750.56,15360.57,15135.68,484.1153,673.12
0.1284229,375563.6,283276,327429.2,234842.7,-727.0231,1204,607.6215,632.8,268.0986,704.48
0.1314629,398582.3,288251,327191.9,192552.6,1380.283,2164.96,135.1485,199.36,314.2347,594.72
0.1317257,466212.3,296593.9,440646.6,220291.7,1889.047,2040.64,550.9044,685.44,470.2745,826.56
0.1317714,289206.9,273814.3,207466.3,129915.5,1106.043,1379.84,208.3815,312.48,265.0553,657.44
0.1319429,278107.3,245324.8,220796.4,160908.2,1418.166,1261.12,335.2451,399.84,493.3751,950.88
0.1325371,298050.7,227374.6,282222.5,192571.7,-234.417,803.04,18213.58,18327.68,49.46097,320.32
0.1332114,375864.2,268914.3,345275.3,223662.9,537.4535,1480.64,618.874,659.68,552.1824,589.12
0.1376914,568372.1,306108.3,567316.5,274345.1,1548.766,1402.24,764.4627,799.68,513.9955,602.56
0.1379886,456210.8,299772.5,558834.6,250509.3,846.6847,1197.28,508.1039,437.92,340.9417,768.32
0.1379886,439863.3,348953.9,444734.3,227524.6,1274.234,1617.28,26204.65,24981.6,290.441,952
0.1405371,261436.6,251435.5,168502.1,122388,-43.63438,1461.6,5120.981,5812.8,163.1226,441.28
0.1416343,332816.5,243892.3,317692.3,192335.4,1641.699,1901.76,768.015,857.92,605.6938,769.44
0.1436571,245429.2,235197.8,166856.1,141663.2,321.166,1270.08,244.619,362.88,184.8153,331.52
0.1445714,494410.8,320633.6,468131.2,224415.5,35.66345,912.8,577.4598,632.8,273.0046,439.04
0.1446286,358920.8,234351,423862.2,261705.9,140.9643,1341.76,197.5081,321.44,423.5752,462.56
0.14504,321867.5,219901.9,261360.9,165240.3,506.7502,881.44,414.4346,465.92,232.3918,580.16
0.1458629,440492,283645.6,371262.8,182766.1,1907.004,1820,394.5398,568.96,298.7802,637.28
