TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.04502857,375679.5,297345.4,315264.5,210250.9,-72.18247,344.96,255.3949,393.12,89.91131,369.6
0.04524571,264310.2,253538.9,147926.2,107710.4,444.8996,527.52,331.0863,451.36,110.391,510.72
0.04635429,469796.3,333089.1,392483.5,225413.4,434.0695,835.52,352.2808,407.68,117.4197,362.88
0.04649143,277277.1,261504.3,222510,173383.8,336.3281,707.84,327.8156,372.96,152.4009,588
0.04788572,460760.8,311092.3,442025.8,217949.8,-66.42087,468.16,496.884,576.8,218.7134,414.4
0.04851428,533509,314591.2,460472.6,205809,526.7858,720.16,539.0996,554.4,48.98444,269.92
0.04884572,452366,324428.2,261349,150568.3,18.56275,260.96,221.4534,471.52,377.2766,661.92
0.04946286,286675.8,275686.9,174371.4,131009.8,251.6694,511.84,201.0279,468.16,168.8842,428.96
0.04988571,278833.2,259689.9,472836.5,306352.5,872.8068,1165.92,1179.883,1419.04,1545.853,2233.28
0.05043428,300672.9,317018.3,113193.4,89798.24,346.1943,488.32,108.4741,209.44,19.49414,244.16
0.05075429,317605.2,281508.7,214234.3,143216.6,277.315,520.8,255.1891,414.4,291.275,618.24
0.05137143,504422.5,336323.7,419590.1,184905.3,293.5493,668.64,502.7431,669.76,464.8811,759.36
0.05158857,436678.1,299008.7,341197.8,183867,591.8313,780.64,320.0938,350.56,623.3685,744.8
0.05162286,416550.8,308859,287088.7,193015.2,495.3245,620.48,418.041,400.96,204.9376,491.68
0.05236571,326795.8,258787.2,267253.4,175483.8,153.733,340.48,91.30839,201.6,282.73,517.44
0.05428571,301447.6,313297.6,113583.5,79922.08,401.2436,470.4,116.001,245.28,268.1744,493.92
0.05469714,317562,259781.8,228048,164936.8,65.22956,404.32,232.2077,260.96,148.0363,659.68
0.05604571,300635.3,255640,220487.3,157520.2,320.9169,502.88,119.5532,311.36,256.9761,629.44
0.05744,262410.1,266684.3,129165.8,103731,-15.42203,579.04,162.4295,230.72,294.7839,524.16
0.05762286,300580.6,312745.4,163911.6,141372,223.6736,586.88,220.5762,254.24,225.9696,272.16
0.05949714,542558.2,337249.9,520728.4,207701.8,159.0939,543.2,684.4826,712.32,465.4551,605.92
0.05977143,465682.9,325487.7,326364.4,170980.3,-13.34266,679.84,416.7847,612.64,192.3422,949.76
0.06138286,253797,247588.3,159362.7,122929,71.72761,443.52,128.4881,349.44,568.7199,723.52
0.06153143,295168.3,285241.6,222159.6,185744.2,4.613613,402.08,235.8033,325.92,142.3289,355.04
0.06193143,398003.6,337971.2,259742.2,160902.6,369.6522,677.6,475.9061,508.48,459.9101,719.04
0.06318857,545392.7,361881,391324.3,240586.1,170.9744,395.36,575.8353,595.84,402.4349,472.64
0.06325714,569641.1,339453,497123.3,200923.5,266.4091,573.44,694.1647,575.68,187.0138,605.92
0.06386286,306594.9,317537.9,140147.9,96940.48,154.1445,395.36,147.2999,262.08,455.2532,645.12
0.06685714,488083.1,316047.2,400029,199754.2,62.25129,362.88,387.6302,532,373.172,451.36
0.06728,451433.1,311932.3,444292.9,275801.1,399.7707,621.6,535.3849,711.2,503.4254,879.2
0.06777143,403456.8,275801.1,353168.9,195040.2,230.7348,670.88,434.9468,439.04,419.9363,715.68
0.06865143,330223.9,316365.3,231648.3,167072.6,74.28351,428.96,296.3109,412.16,160.1444,368.48
0.06906286,528906.4,344050.6,377915,197155.8,435.6616,506.24,450.0872,528.64,394.3881,449.12
0.06918857,497387.5,355046.7,353956.6,207688.3,225.179,659.68,601.0802,688.8,496.0609,1179.36
0.07197715,303966.9,305184.3,134079.4,98506.24,84.17137,367.36,263.485,439.04,343.4976,644
0.072,464083.3,325364.5,343572.4,178318.6,130.6974,306.88,408.9004,427.84,438.3366,632.8
0.07457143,426111.9,307525.1,296599.9,170140.3,338.6349,552.16,419.319,465.92,91.21092,387.52
0.07510857,374001.3,294844.5,259493.2,172465.4,91.80657,392,238.1101,490.56,380.9155,480.48
0.07650286,318595.9,322537.6,159252.6,134557.9,33.96313,724.64,71.79259,252,374.45,639.52
0.07748572,494175.6,351294.7,306025.8,204208.5,268.4776,463.68,377.9481,538.72,114.4848,377.44
0.07912,241229.8,213828.2,239291.3,196592.5,-63.62671,377.44,227.8107,260.96,333.4148,761.6
0.07923429,497417.3,334108.3,384921,204137.9,268.8134,512.96,428.5029,421.12,310.7799,520.8
0.07986286,299317.8,309989.1,146949.3,102981.8,27.63836,496.16,207.526,278.88,162.7544,451.36
0.08002286,267723.6,218411.2,318367.7,199420.5,96.08446,342.72,232.5759,383.04,232.7384,545.44
0.08134857,373948.1,276561.6,270375.8,197967.8,134.7803,514.08,427.1275,431.2,458.4156,785.12
0.082,286791.7,310275.8,110047.5,86285.92,-22.76482,495.04,159.278,344.96,155.7149,259.84
0.08432,314704.7,227883,319134.6,213587.4,60.21524,323.68,445.7335,433.44,409.4095,689.92
0.08458286,302622.4,211881.6,365705.6,257536.2,297.903,579.04,501.7575,673.12,190.5227,524.16
0.08464,307581,224620.5,312739.9,236536.2,251.2362,528.64,211.4789,268.8,253.987,543.2
0.08819429,405035.9,284951.5,322699,206523.5,121.8276,378.56,279.5785,388.64,304.6934,434.56
0.0896,460591.8,317919.8,326481.1,153895.8,183.3099,683.2,578.0446,453.6,475.7545,451.36
0.08969143,436180.9,300004.3,463579.3,247041.8,298.6936,675.36,526.7317,436.8,305.7764,470.4
0.09416,435107.4,311911,304966.1,176124.5,205.7823,488.32,236.6589,309.12,129.8201,300.16
