TIME,FSC-A,FSC-H,BSC-A,BSC-H,Pacific Blue-A,Pacific Blue-H,EGFP-A,EGFP-H,miRFP670-A,miRFP670-H
0.03996572,377938.8,250606.7,402466.6,211859.2,866.1464,1257.76,526.1902,529.76,5696.773,6289.92
0.04108571,268207.4,247942.2,170763.7,138715.4,1510.211,1687.84,150.5273,271.04,7515.132,8207.36
0.04218286,385298.2,253843.5,298354.1,166641.4,540.8216,1074.08,337.8984,458.08,7496.245,10264.8
0.04390857,463786.8,307688.7,324471.4,168136.6,760.2173,1229.76,298.0546,392,16597.48,17430.56
0.04434286,554247.1,380397.9,436169.3,226645.4,1262.192,2643.2,432.3584,449.12,7846.868,11480
0.04532572,259373.6,205950.1,292336.3,212336.3,1930.97,1956.64,311.2348,592.48,9602.196,10841.6
0.04667429,414371,249001.8,566032.8,268197.4,1288.768,1457.12,772.9644,996.8,7301.076,9124.64
0.04696,448411.9,254672.3,551953.9,275103.4,1541.478,2347.52,440.156,452.48,28768.76,21183.68
0.04772571,399240.1,263157.4,334414.2,167919.4,-211.9446,1673.28,274.7266,390.88,5240.382,6034.56
0.04979429,221753.6,174891.4,264344.4,192875.2,806.7542,1515.36,177.2126,291.2,5287.905,4552.8
0.05088,267568.4,219259,208719.1,142461.8,172.7722,2464,197.5515,435.68,4910.877,4579.68
0.05222857,376610.9,306302.1,284870.7,178316.3,87.44205,1346.24,437.7084,405.44,19156.24,22160.32
0.05322286,212896,186982.9,231616.8,171226.7,803.3427,2197.44,102.3442,230.72,8554.972,8765.12
0.05326857,340446.7,214949.3,363975.2,179015.2,594.0948,1680,628.8268,574.56,27015.67,29010.24
0.05405714,233912.4,212719.4,164139.1,115814.7,669.0064,2283.68,235.5,302.4,9029.34,12502.56
0.05481143,373796.2,270438.6,285001.1,163821.3,821.1473,1513.12,339.2414,451.36,6160.051,6022.24
0.05509714,451524.2,295590.4,388300.9,219252.3,726.3734,1555.68,411.5755,436.8,10434.38,7782.88
0.05624,227033.3,206226.7,185504.3,127073,490.4618,1285.76,280.4882,369.6,8330.864,10214.4
0.05653714,301480.4,230248.5,252040,176199.5,728.1928,2281.44,272.3981,478.24,3816.953,5033.28
0.05696,269093,225199.5,418202.7,227445.1,982.3856,1442.56,601.6975,632.8,3926.25,3981.6
0.05758857,465098.8,287717.9,391780.5,193595.4,478.9494,1404.48,425.5354,393.12,8340.99,7062.72
0.058,384775.3,225970.1,392266.2,218737.1,1550.391,2452.8,399.9548,495.04,9061.722,7405.44
0.0584,273689.6,219456.2,394958.3,311351,967.5917,2513.28,269.1274,434.56,6533.061,8608.32
0.05891429,478065,320144.2,451257.2,206127,429.066,909.44,532.8182,568.96,6819.44,5376
0.05948571,423095.6,339129.3,327275.6,200932.5,1170.439,1319.36,362.7859,523.04,8566.072,9229.92
0.05949714,396875.3,267518.7,392034.5,209712.2,1445.003,1802.08,490.8516,553.28,9834.794,8218.56
