FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
6083.932617,10401.009766,5.741921,6.147872,20.633295,93.569885,10398.172852,23404.628906,3.784184,4.017076,0.759057,0.788725,1.314569,1.971136,4.016957,4.369302,37.000000
12802.240234,41509.984375,14.561415,13.147854,47.023933,631.836487,43820.050781,33575.984375,4.107286,4.618153,1.163204,1.118855,1.672319,2.800605,4.641673,4.526029,152.000000
4959.222168,7380.164062,7.524323,6.389396,8.341514,254.911102,7135.528809,29772.164062,3.695414,3.868066,0.876467,0.805460,0.921245,2.406389,3.853426,4.473810,242.000000
5412.963867,7794.495117,3.481541,1.035103,3.700486,139.570023,7841.060059,26488.285156,3.733435,3.891788,0.541772,0.014984,0.568259,2.144792,3.894375,4.423054,437.000000
6022.865723,8400.083008,5.970118,3.750942,14.129691,210.785873,8137.179199,21912.291016,3.779803,3.924284,0.775983,0.574140,1.150133,2.323842,3.910474,4.340688,813.000000
5776.727539,4567.140625,5.741921,5.953596,9.575008,42.793041,4489.267090,23958.962891,3.761682,3.659644,0.759057,0.774779,0.981139,1.631373,3.652175,4.379468,842.000000
5068.494629,9999.242188,7.511988,4.136563,11.755212,118.757866,9806.255859,21042.150391,3.704879,3.999967,0.875755,0.616640,1.070230,2.074662,3.991503,4.323090,977.000000
8082.365234,8152.587891,7.289958,4.226167,20.038134,151.985153,8349.302734,28290.625000,3.907538,3.911295,0.862725,0.625947,1.301857,2.181801,3.921650,4.451643,1418.000000
7305.025391,5546.171875,4.126042,4.188574,11.440671,72.788567,5577.361816,29473.783203,3.863622,3.743993,0.615534,0.622066,1.058452,1.862063,3.746429,4.469436,1685.000000
5820.174316,6441.479980,6.013290,5.315733,14.542912,52.537659,6350.101074,23681.539062,3.764936,3.808986,0.779112,0.725563,1.162651,1.720471,3.802781,4.374410,1869.000000
5074.582031,7817.888184,5.778926,6.408933,5.344119,107.412788,7784.160156,22226.496094,3.705400,3.893090,0.761847,0.806786,0.727876,2.031056,3.891212,4.346871,1935.000000
4549.162109,7980.435059,2.534833,0.616804,13.004127,158.439407,7828.450684,26932.349609,3.657931,3.902027,0.403949,0.000000,1.114081,2.199863,3.893676,4.430274,1978.000000
6168.723145,3977.042480,3.836171,2.672974,10.913351,65.769981,4128.089355,30313.574219,3.790195,3.599560,0.583898,0.426995,1.037958,1.818028,3.615749,4.481637,2158.000000
9367.997070,9875.414062,5.948532,6.889519,16.451746,106.191628,11138.803711,60269.210938,3.971647,3.994555,0.774410,0.838189,1.216212,2.026090,4.046839,4.780096,2412.000000
5393.428223,8790.224609,4.292564,5.014884,13.001042,129.985748,8679.655273,24333.044922,3.731865,3.944000,0.632717,0.700261,1.113978,2.113896,3.938503,4.386197,2590.000000
7406.252441,8042.637207,3.558635,3.666157,8.474114,121.832352,8077.744141,28674.287109,3.869599,3.905398,0.551283,0.564211,0.928094,2.085763,3.907290,4.457493,2619.000000
6708.803223,4736.298828,5.217686,5.827234,19.800686,61.372570,4711.394043,23482.664062,3.826645,3.675439,0.717478,0.765462,1.296680,1.787974,3.673149,4.370748,2679.000000
5854.552246,6867.550781,5.399627,5.507752,7.203614,151.479416,6758.891602,24446.078125,3.767494,3.836802,0.732364,0.740974,0.857550,2.180354,3.829875,4.388209,3033.000000
3489.614258,3246.344238,4.329569,4.625276,3.268763,0.000000,3281.181641,26643.447266,3.542778,3.511395,0.636445,0.665138,0.514383,0.000000,3.516030,4.425591,3061.000000
6764.557129,9616.916992,4.745874,7.332471,14.465818,85.441147,9355.708008,22430.968750,3.830239,3.983036,0.676316,0.865250,1.160343,1.931667,3.971077,4.350848,3155.000000
3289.590576,25978.376953,5.772759,7.575276,85.086517,810.159851,25547.462891,23684.388672,3.517142,4.414612,0.761383,0.879398,1.929861,2.908571,4.407348,4.374462,3343.000000
6852.875488,11768.684570,7.561327,4.794045,32.419346,181.333084,11473.270508,18623.353516,3.835873,4.070728,0.878598,0.680702,1.510804,2.258477,4.059687,4.270058,3875.000000
5273.951660,8952.146484,3.910181,4.641368,5.547646,143.511032,9274.819336,24934.095703,3.722136,3.951927,0.592197,0.666646,0.744109,2.156885,3.967305,4.396794,3954.000000
4103.247559,7200.548340,4.008861,5.771309,11.847724,142.086349,7319.812500,23871.957031,3.613128,3.857366,0.603021,0.761274,1.073635,2.152552,3.864500,4.377888,4322.000000
6341.545410,12157.066406,7.946795,5.743876,30.451920,331.122620,13819.663086,35788.304688,3.802195,4.084829,0.900192,0.759205,1.483615,2.519989,4.140498,4.553741,4399.000000
3926.407471,7237.448730,4.952485,3.016787,15.138074,83.227028,7116.798828,22914.759766,3.593995,3.859586,0.694823,0.479545,1.180071,1.920264,3.852285,4.360116,4644.000000
6444.893555,10634.334961,6.210650,5.743875,14.724853,204.751007,10555.284180,22484.636719,3.809216,4.026711,0.793137,0.759205,1.168051,2.311226,4.023470,4.351886,4691.000000
3016.988037,8614.029297,6.500521,5.603507,12.171516,143.692978,8455.221680,23223.390625,3.479573,3.935206,0.812948,0.748460,1.085345,2.157436,3.927125,4.365926,4804.000000
2955.211670,3813.147705,2.710606,5.090142,16.895805,27.087561,3894.054199,27428.841797,3.470589,3.581284,0.433066,0.706730,1.227779,1.432770,3.590402,4.438208,4873.000000
13413.539062,13064.591797,6.623871,7.680480,13.889159,99.774368,12998.392578,25049.203125,4.127543,4.116096,0.821112,0.885388,1.142676,1.999019,4.113890,4.398794,4980.000000
