FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
6981.430176,14116.711914,45.571491,4.928868,15.492703,317.625092,13672.137695,22534.769531,3.843944,4.149734,1.658693,0.692747,1.190127,2.501915,4.135837,4.352853,19.000000
9120.298828,10090.751953,6.229152,2.423701,6.195231,219.321671,10284.941406,27127.386719,3.960009,4.003923,0.794429,0.384479,0.792058,2.341082,4.012202,4.433408,270.000000
5992.293457,10488.279297,32.021542,0.000000,16.127954,247.618057,10149.321289,23582.548828,3.777593,4.020704,1.505442,0.000000,1.207579,2.393782,4.006437,4.372591,627.000000
4725.989746,7981.791992,73.275803,5.717351,14.382558,208.081436,7992.481445,20980.716797,3.674493,3.902100,1.864961,0.757195,1.157836,2.318233,3.902682,4.321820,951.000000
10487.791992,47761.433594,34.167824,6.087757,45.155186,816.256409,40933.503906,13310.171875,4.020684,4.679077,1.533617,0.784457,1.654708,2.911827,4.612079,4.124184,993.000000
5480.075195,14564.945312,20.784399,7.317077,23.732454,266.579956,14304.638672,23606.771484,3.738786,4.163309,1.317737,0.864338,1.375343,2.425828,4.155477,4.373036,1147.000000
9736.192383,26698.960938,90.720512,11.008990,22.162830,790.800110,27805.375000,25139.117188,3.988389,4.426494,1.957705,1.041747,1.345625,2.898067,4.444129,4.400350,1297.000000
8488.348633,12615.710938,53.919170,2.690342,8.945926,268.797180,12525.063477,24113.212891,3.928823,4.100912,1.731743,0.429807,0.951625,2.429425,4.097780,4.382255,1718.000000
7370.147949,10432.429688,24.410875,4.117407,10.827006,269.105560,10612.704102,27120.054688,3.867476,4.018385,1.387583,0.614624,1.034508,2.429923,4.025826,4.433290,1746.000000
8281.416992,18057.039062,329.728760,5.227222,33.961216,424.402618,20849.482422,37882.480469,3.918105,4.256647,2.518157,0.718271,1.530983,2.627778,4.319095,4.578438,1874.000000
5900.833008,6178.350586,36.677990,3.204194,12.698836,31.824184,6136.074707,27706.050781,3.770913,3.790873,1.564406,0.505719,1.103764,1.502757,3.787891,4.442575,2316.000000
5781.769531,8681.597656,33.517155,4.316491,21.111275,201.324966,8510.221680,22266.449219,3.762061,3.938600,1.525267,0.635131,1.324515,2.303898,3.929941,4.347651,2781.000000
4585.503906,7009.930176,24.639072,4.181300,10.025234,164.955353,6892.035156,22200.060547,3.661387,3.845714,1.391624,0.621311,1.001095,2.217366,3.838347,4.346354,2854.000000
7948.694336,9471.315430,104.776192,6.830400,27.136902,294.601898,9431.323242,24695.808594,3.900296,3.976410,2.020263,0.834446,1.433560,2.469236,3.974573,4.392623,2933.000000
4516.129395,6249.557617,38.071838,5.145164,21.570753,136.853241,6236.694336,27062.548828,3.654766,3.795849,1.580604,0.711399,1.333865,2.136255,3.794955,4.432369,3085.000000
