FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
2688.162842,2984.584229,2.035268,6.670577,16.510338,48.544216,2981.643066,29113.166016,3.429456,3.474884,0.308622,0.824163,1.217756,1.686137,3.474456,4.464089,48.000000
5462.916992,8421.613281,5.939281,6.949145,20.667217,27.167738,8075.254883,28313.800781,3.737425,3.925395,0.773734,0.841931,1.315282,1.434053,3.907156,4.451998,143.000000
10967.533203,16319.712891,8.572794,7.961960,27.207827,60.268589,16835.222656,34635.296875,4.040109,4.212712,0.933122,0.901020,1.434694,1.780091,4.226219,4.539519,281.000000
5038.952637,12049.002930,4.153796,5.721170,4.375825,41.029144,12083.691406,25358.455078,3.702340,4.080951,0.618445,0.757485,0.641060,1.613092,4.082200,4.404123,720.000000
4138.331055,6264.763184,6.087300,4.675285,7.891287,32.607452,6073.766113,20298.908203,3.616825,3.796905,0.784425,0.669808,0.897148,1.513317,3.783458,4.307473,833.000000
5875.675781,5403.635254,3.833087,5.726220,21.394979,31.731672,5590.675781,26683.859375,3.769058,3.732686,0.583549,0.757868,1.330312,1.501493,3.747464,4.426249,866.000000
12484.202148,21597.529297,11.653449,9.223864,32.971336,33.988968,20246.390625,19537.039062,4.096361,4.334404,1.066455,0.964913,1.518137,1.531338,4.306348,4.290859,1008.000000
5670.218262,12091.207031,4.900061,5.088758,15.360103,43.126087,9020.826172,0.000000,3.753600,4.082469,0.690201,0.706612,1.186394,1.634740,3.955246,0.000000,1246.000000
5630.068359,5600.217773,3.389029,3.534032,7.848115,67.999527,5564.639160,29316.619141,3.750514,3.748205,0.530075,0.548270,0.894765,1.832506,3.745437,4.467114,1321.000000
1511.198486,6032.187500,3.681984,7.087639,13.691800,16.115620,6053.372070,27320.910156,3.179322,3.780475,0.566082,0.850502,1.136461,1.207247,3.781997,4.436495,1552.000000
12963.590820,17781.546875,6.250739,5.579034,11.317321,46.453442,17054.591797,22609.691406,4.112725,4.249969,0.795931,0.746559,1.053744,1.667018,4.231842,4.354295,1630.000000
10087.662109,15295.630859,6.987752,5.447223,20.007298,84.149063,16141.913086,31529.228516,4.003790,4.184567,0.844337,0.736175,1.301188,1.925049,4.207955,4.498713,1726.000000
6255.237793,6246.535156,3.725156,4.032990,8.782488,8.190410,6234.196777,24445.476562,3.796244,3.795639,0.571145,0.605627,0.943618,0.913306,3.794780,4.388198,1897.000000
5582.362793,6023.244629,4.397411,5.357782,13.392677,88.857933,6148.856445,27425.062500,3.746818,3.779830,0.643197,0.728985,1.126867,1.948696,3.788794,4.438148,2104.000000
4269.615234,4672.474609,3.256428,4.285884,15.468034,8.831828,4599.274902,25073.414062,3.630389,3.669547,0.512742,0.632040,1.189435,0.946051,3.662689,4.399213,2140.000000
5961.030273,8006.745605,6.127389,7.165544,18.712128,94.436417,7875.828125,21352.714844,3.775321,3.903456,0.787275,0.855249,1.272123,1.975139,3.896296,4.329453,2363.000000
5475.199707,8435.203125,4.742790,7.527092,24.176512,28.635597,8554.087891,29806.078125,3.738400,3.926095,0.676034,0.876627,1.383394,1.456906,3.932174,4.474305,2479.000000
5095.443359,14990.895508,7.243702,5.930483,21.487492,57.780014,16470.099609,32143.427734,3.707182,4.175828,0.859961,0.773090,1.332186,1.761778,4.216696,4.507092,2750.000000
5819.668945,7522.947266,3.620309,8.960202,12.180768,33.847118,7417.714844,24471.708984,3.764898,3.876388,0.558746,0.952318,1.085675,1.529522,3.870270,4.388664,2979.000000
11845.871094,13476.354492,8.754734,8.098872,22.532879,45.068840,15326.975586,46625.117188,4.073567,4.129572,0.942243,0.908425,1.352817,1.653876,4.185456,4.668620,3055.000000
5033.993652,3559.368408,4.335737,5.938259,16.464081,43.138420,3649.874268,29170.625000,3.701913,3.551373,0.637063,0.773659,1.216537,1.634864,3.562278,4.464946,3108.000000
7928.051758,15814.460938,8.554292,4.692184,30.902145,63.531185,16108.433594,29021.732422,3.899167,4.199054,0.932184,0.671375,1.489989,1.802987,4.207053,4.462723,3217.000000
3807.146973,4530.854004,4.499175,3.332713,16.300644,22.949184,4587.500000,26200.300781,3.580600,3.656180,0.653133,0.522798,1.212205,1.360767,3.661576,4.418306,3301.000000
8995.830078,11361.329102,3.657314,3.870976,12.899280,51.797562,11165.919922,27435.099609,3.954041,4.055429,0.563162,0.587821,1.110565,1.714309,4.047894,4.438306,3559.000000
5275.882324,10614.848633,4.573184,4.699779,14.290046,55.383949,10343.964844,22090.824219,3.722295,4.025914,0.660219,0.672077,1.155034,1.743384,4.014687,4.344212,3743.000000
8958.196289,11807.814453,3.996526,7.505751,7.860450,45.676338,11603.526367,24305.013672,3.952221,4.072169,0.601683,0.875394,0.895447,1.659691,4.064590,4.385696,3884.000000
7178.833008,7175.055176,4.699618,5.626171,9.575008,26.819277,7148.332520,25795.730469,3.856054,3.855825,0.672063,0.750213,0.981139,1.428447,3.854205,4.411548,3924.000000
4685.191895,4326.559570,3.022064,6.368963,19.026669,17.305943,4448.691406,27686.261719,3.670727,3.636143,0.480304,0.804069,1.279363,1.238195,3.648232,4.442265,4484.000000
3655.991211,3380.610352,3.904013,5.490087,9.377649,60.280926,3248.877930,22899.525391,3.563005,3.528995,0.591511,0.739579,0.972094,1.780180,3.511733,4.359827,4538.000000
7215.822266,7015.783203,2.821621,3.949071,11.169302,18.764551,7334.358398,31346.398438,3.858286,3.846076,0.450499,0.596495,1.048026,1.273338,3.865362,4.496188,5049.000000
4082.207031,4015.878906,1.634382,4.331707,10.327441,37.704872,4024.613770,28930.371094,3.610895,3.603781,0.213353,0.636659,1.013993,1.576397,3.604724,4.461354,5087.000000
6070.787109,7861.461426,4.921647,4.750215,20.664133,35.299557,7911.973145,24101.392578,3.783245,3.895503,0.692110,0.676713,1.315217,1.547769,3.898285,4.382042,5400.000000
6276.314941,13855.448242,4.674948,5.280470,17.941193,35.416740,15548.354492,33384.750000,3.797705,4.141621,0.669777,0.722673,1.253851,1.549209,4.191684,4.523548,5869.000000
5532.634277,3454.169678,6.488186,8.611532,15.412526,51.550861,3550.364258,29277.101562,3.742932,3.538344,0.812123,0.935080,1.187874,1.712236,3.550273,4.466528,6044.000000
5430.630371,7442.517090,4.896977,5.095270,17.716080,69.260773,7308.293945,24602.259766,3.734850,3.871720,0.689928,0.707167,1.248368,1.840487,3.863816,4.390975,6064.000000
