FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,SSC-ALin,SSC-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,SSC-ALog,SSC-WLog,TIME
14560.945312,24527.953125,430.175385,7.453930,33.776192,31.558983,26719.457031,56695.476562,4.163189,4.389661,2.633646,0.872385,1.528611,1.499123,4.426827,4.753549,121.000000
10075.518555,6943.398438,585.941223,5.710709,51.359669,42.959564,6512.003418,20853.509766,4.003267,3.841572,2.767854,0.756690,1.710622,1.633060,3.813715,4.319179,211.000000
15095.801758,23330.205078,331.986053,7.367615,32.052380,32.699966,27092.171875,36705.664062,4.178856,4.367918,2.521120,0.867327,1.505860,1.514547,4.432844,4.564733,273.000000
7154.215332,10954.596680,18.147802,1.083837,3.734408,18.456177,10655.326172,24213.722656,3.854562,4.039597,1.258824,0.034964,0.572222,1.266142,4.027567,4.384061,432.000000
6487.116211,5650.892578,1.893416,3.362180,16.812544,44.661789,5663.097656,26620.117188,3.812052,3.752117,0.277246,0.526621,1.225633,1.649936,3.753054,4.425210,711.000000
12832.929688,17353.437500,494.323334,3.806660,20.636379,11.412917,17237.279297,28249.308594,4.108326,4.239386,2.694011,0.580544,1.314633,1.057397,4.236469,4.451008,736.000000
7515.021973,9595.657227,414.405151,7.812435,18.197142,51.122223,17258.050781,19302.621094,3.875930,3.982075,2.617425,0.892786,1.260003,1.708610,4.236992,4.285616,911.000000
10346.366211,24110.251953,208.229462,0.937309,19.063673,25.764637,22489.810547,17465.513672,4.014788,4.382202,2.318542,0.000000,1.280207,1.411024,4.351986,4.242181,942.000000
17185.621094,20391.730469,1096.414062,18.777786,71.595161,50.283443,22309.357422,36776.500000,4.235165,4.309454,3.039975,1.273644,1.854884,1.701425,4.348487,4.565570,1036.000000
6947.191406,6912.237305,5.840601,5.754446,10.956524,30.273064,6944.026367,28597.433594,3.841809,3.839619,0.766458,0.760004,1.039673,1.481056,3.841611,4.456327,1199.000000
8389.644531,8591.953125,376.879120,13.235844,30.353241,31.410963,8306.469727,22369.587891,3.923743,3.934092,2.576202,1.121752,1.482205,1.497081,3.919416,4.349658,1314.000000
9806.967773,11637.089844,513.097107,9.970291,29.610060,43.776756,11187.226562,20817.960938,3.991535,4.065845,2.710200,0.998708,1.471439,1.641244,4.048722,4.318438,1380.000000
6702.450684,13564.238281,357.167877,0.000000,27.836910,37.057289,13615.250977,23904.931641,3.826234,4.132395,2.552872,0.000000,1.444621,1.568874,4.134026,4.378488,1445.000000
8970.855469,12311.512695,805.824097,4.745766,53.564541,36.295605,11728.142578,19524.146484,3.952834,4.090312,2.906240,0.676306,1.728877,1.559854,4.069229,4.290572,1516.000000
4871.894043,4747.915527,3.416783,7.669303,7.191279,12.606324,4787.258301,27683.339844,3.687698,3.676503,0.533617,0.884756,0.856806,1.100588,3.680087,4.442218,1769.000000
7997.204590,8547.476562,325.346771,8.221565,18.021370,40.224289,8273.041992,21806.750000,3.902938,3.931838,2.512347,0.914954,1.255788,1.604488,3.917665,4.338591,1994.000000
4788.420410,5523.074707,2.004430,3.920249,29.458956,0.000000,5614.965820,28005.167969,3.680192,3.742181,0.301991,0.593314,1.469217,0.000000,3.749347,4.447238,2064.000000
14050.426758,19379.787109,667.062012,7.053253,52.136772,20.383512,19473.359375,29551.066406,4.147689,4.287349,2.824166,0.848389,1.717144,1.309279,4.289441,4.470573,2196.000000
8315.141602,13069.417969,593.228088,4.266228,40.652927,39.397846,13258.758789,27310.849609,3.919870,4.116256,2.773222,0.630044,1.609092,1.595472,4.122503,4.436335,2459.000000
6787.176270,7874.487305,380.921906,6.702324,43.653404,97.409142,7791.585449,24678.554688,3.831689,3.896222,2.580836,0.826225,1.640018,1.988600,3.891626,4.392320,3223.000000
10791.293945,14119.823242,460.574890,10.673016,26.757601,57.039917,14434.076172,29259.255859,4.033073,4.149829,2.663300,1.028287,1.427447,1.756179,4.159389,4.466263,3333.000000
8981.904297,9909.211914,370.619141,1.231331,16.735451,22.631559,9607.871094,22440.433594,3.953368,3.996039,2.568928,0.090375,1.223637,1.354715,3.982627,4.351031,3395.000000
7971.560059,8936.650391,436.882507,10.289791,45.710258,10.216427,8787.531250,25584.230469,3.901543,3.951175,2.640365,1.012407,1.660014,1.009299,3.943867,4.407972,3560.000000
6221.430664,6871.898926,5.862187,4.037472,11.098375,52.966297,8929.568359,57333.589844,3.793890,3.837077,0.768060,0.606109,1.045259,1.724000,3.950830,4.758409,3638.000000
10320.687500,25206.123047,105.507034,7.066243,17.253519,20.978674,24551.250000,23362.537109,4.013709,4.401506,2.023281,0.849189,1.236878,1.321778,4.390074,4.368520,3789.000000
9571.184570,19773.041016,7.311544,6.468713,22.206003,21.364141,20870.548828,34011.273438,3.980966,4.296073,0.864009,0.810818,1.346470,1.329685,4.319534,4.531623,3921.000000
11231.562500,31508.253906,20.691887,6.337549,26.467730,32.669128,29119.328125,15995.414062,4.050440,4.498425,1.315800,0.801921,1.422717,1.514138,4.464181,4.203996,4243.000000
7962.716309,8211.142578,412.086182,3.853374,31.216688,33.822445,8186.770508,26099.378906,3.901061,3.914404,2.614988,0.585841,1.494387,1.529205,3.913113,4.416630,4367.000000
7877.607910,8949.432617,606.401794,5.999184,35.817627,52.624001,8653.594727,23426.701172,3.896394,3.951796,2.782760,0.778092,1.554097,1.721184,3.937196,4.369711,4389.000000
8135.914062,12698.345703,523.557190,7.825348,41.559547,36.570057,12432.975586,20996.578125,3.910406,4.103747,2.718964,0.893504,1.618671,1.563126,4.094575,4.322148,4475.000000
7196.490234,9907.389648,280.897766,6.645546,22.662395,23.698532,9815.552734,23757.625000,3.857121,3.995959,2.448548,0.822531,1.355306,1.374721,3.991915,4.375803,4611.000000
12747.666992,15170.844727,450.605164,7.492981,32.397758,37.794304,14781.237305,22025.582031,4.105431,4.181010,2.653796,0.874655,1.510515,1.577426,4.169711,4.342927,4690.000000
14505.681641,13320.789062,624.046936,5.378448,35.102200,16.445580,12861.195312,20706.388672,4.161538,4.124530,2.795217,0.730657,1.545334,1.216049,4.109282,4.316104,4739.000000
