FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
34067.363281,30356.845703,215.883301,72.680641,1118.299316,5382.672363,3466.564697,0.000000,4.532339,4.482256,2.334219,1.861419,3.048558,3.730998,3.539899,0.000000,162.000000
19887.121094,22539.152344,95.848770,20.975592,127.161049,3966.421875,4260.009766,99998.000000,4.298572,4.352938,1.981587,1.321714,2.104354,3.598399,3.629411,4.999991,754.000000
30062.851562,33303.742188,228.474197,61.958481,130.139938,4999.961914,3486.555176,99998.000000,4.478030,4.522493,2.358837,1.792101,2.114411,3.698967,3.542397,4.999991,1031.000000
60869.980469,36797.550781,204.772583,74.274933,616.309875,2555.321533,2395.818848,99998.000000,4.784403,4.565819,2.311272,1.870842,2.789799,3.407446,3.379454,4.999991,2274.000000
11951.217773,30061.335938,0.000000,57.863274,361.802734,4084.245361,5234.924316,28878.837891,4.077412,4.478008,0.000000,1.762403,2.558472,3.611112,3.718910,4.460580,2629.000000
52746.390625,96578.210938,627.318787,110.431770,1654.231567,6316.323242,7505.903320,99998.000000,4.722193,4.984879,2.797488,2.043094,3.218596,3.800464,3.875403,4.999991,3192.000000
18390.378906,35239.976562,287.916351,113.558678,1386.763428,2287.135010,3280.104004,99998.000000,4.264591,4.547036,2.459266,2.055220,3.142002,3.359292,3.515887,4.999991,4685.000000
50410.875000,39279.746094,259.101898,36.995613,1336.279541,5593.670898,6594.478027,48767.679688,4.702524,4.594169,2.413471,1.568150,3.125897,3.747697,3.819180,4.688132,4844.000000
30890.130859,15368.018555,49.167130,46.817322,396.679810,4519.965332,5183.973633,99998.000000,4.489820,4.186618,1.691675,1.670407,2.598440,3.655135,3.714663,4.999991,6844.000000
30847.890625,35119.972656,203.542175,29.792000,0.000000,7003.537598,7274.955078,99998.000000,4.489225,4.545554,2.308654,1.474100,0.000000,3.845317,3.861830,4.999991,6885.000000
27735.621094,70698.835938,339.457947,126.399368,1847.292114,6813.718262,6476.523926,99998.000000,4.443038,4.849412,2.530786,2.101745,3.266536,3.833384,3.811342,4.999991,8779.000000
31298.289062,33913.656250,165.846558,73.032188,731.502930,5902.800293,3872.018066,0.000000,4.495521,4.530375,2.219707,1.863514,2.864216,3.771058,3.587937,0.000000,8912.000000
50813.125000,58371.789062,262.201050,92.931549,740.282349,5244.662598,2460.972656,10180.240234,4.705976,4.766203,2.418634,1.968163,2.869397,3.719718,3.391107,4.007758,9021.000000
26220.451172,18486.556641,188.339340,11.530099,606.164368,4340.692383,4022.383057,99998.000000,4.418640,4.266856,2.274941,1.061833,2.782590,3.637559,3.604483,4.999991,9325.000000
28119.265625,34757.234375,110.225159,44.541523,682.980286,5497.834473,5221.902832,99998.000000,4.449004,4.541045,2.042281,1.648765,2.834408,3.740192,3.717829,4.999991,9921.000000
27730.207031,15272.151367,164.471207,5.162179,354.522034,6434.880859,5822.338379,0.000000,4.442953,4.183900,2.216090,0.712833,2.549643,3.808541,3.765097,0.000000,10707.000000
57992.039062,63787.691406,478.078186,76.100502,739.825928,4320.422852,4037.639160,21283.673828,4.763369,4.804737,2.679499,1.881387,2.869130,3.635526,3.606128,4.328047,11195.000000
31236.583984,19821.791016,176.525543,22.545214,942.883972,2911.191162,2548.680908,99998.000000,4.494664,4.297143,2.246808,1.353054,2.974458,3.464071,3.406316,4.999991,11944.000000
63091.105469,65275.152344,341.918793,63.697708,1175.619873,6457.805176,4634.104492,3703.463379,4.799968,4.814748,2.533923,1.804124,3.070267,3.810085,3.665966,3.568608,12210.000000
24597.248047,15975.691406,149.083344,12.375044,1072.259155,4080.745361,3187.466553,20051.460938,4.390886,4.203460,2.173429,1.092547,3.030300,3.610739,3.503446,4.302146,12318.000000
37187.878906,26995.150391,120.623528,80.787788,28.684938,3662.167969,2788.942871,0.000000,4.570401,4.431286,2.081432,1.907346,1.457654,3.563738,3.445440,0.000000,12676.000000
18900.287109,15389.121094,201.361969,38.398716,142.351547,4488.023926,3777.833496,3937.392578,4.276468,4.187214,2.303977,1.584317,2.153362,3.652055,3.577243,3.595209,12803.000000
57025.179688,25329.589844,198.491013,55.781750,607.453369,6393.287598,4432.696777,99998.000000,4.756067,4.403628,2.297741,1.746492,2.783513,3.805724,3.646668,4.999991,12840.000000
28807.392578,19008.996094,119.621307,66.035179,679.094788,5018.254395,5824.376465,99998.000000,4.459504,4.278959,2.077809,1.819775,2.831930,3.700553,3.765249,4.999991,13167.000000
30214.867188,16688.072266,271.920990,36.196926,619.757507,2847.817383,3352.956543,99998.000000,4.480221,4.222406,2.434443,1.558672,2.792222,3.454512,3.525428,4.999991,14433.000000
34574.523438,25342.699219,256.844604,53.154404,1150.191406,4096.389160,3909.190430,99998.000000,4.538756,4.403853,2.409670,1.725539,3.060770,3.612401,3.592087,4.999991,14490.000000
