FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
73741.984375,57664.687500,242.582306,63.484928,1024.911377,8776.937500,7921.766602,72487.664062,4.867715,4.760910,2.384859,1.802671,3.010686,3.943343,3.898822,4.860264,863.000000
29063.244141,30309.105469,135.083176,57.906445,584.368469,6655.025879,6518.782715,0.000000,4.463344,4.481573,2.130601,1.762727,2.766687,3.823150,3.814167,0.000000,1662.000000
41725.773438,34001.609375,307.599854,93.264595,778.298645,4503.781738,4092.106201,0.000000,4.620404,4.531499,2.487986,1.969717,2.891146,3.653577,3.611947,0.000000,1823.000000
45489.820312,33871.476562,258.960052,42.447662,590.788818,5519.849121,4908.379395,99998.000000,4.657914,4.529834,2.413233,1.627854,2.771432,3.741927,3.690938,4.999991,4045.000000
36990.187500,39472.898438,367.106750,84.882996,1836.335571,6330.317383,4846.671387,99998.000000,4.568087,4.596299,2.564792,1.928821,3.263952,3.801425,3.685444,4.999991,4201.000000
37332.199219,53387.972656,152.632736,42.950314,935.880798,6454.635254,5520.901367,99998.000000,4.572083,4.727443,2.183648,1.632966,2.971220,3.809872,3.742010,4.999991,5965.000000
31037.337891,33035.976562,107.893852,64.925034,496.081055,4631.041504,4958.794922,99998.000000,4.491884,4.518987,2.032997,1.812412,2.695553,3.665679,3.695376,4.999991,7090.000000
38931.925781,50004.914062,261.701477,68.989403,487.107361,3801.596191,3772.507080,99998.000000,4.590306,4.699013,2.417806,1.838782,2.687625,3.579966,3.576630,4.999991,7699.000000
19801.419922,94104.585938,461.018951,80.642853,1960.311157,4906.071289,4521.950195,99998.000000,4.296696,4.973611,2.663719,1.906566,3.292325,3.690734,3.655326,4.999991,7961.000000
52302.816406,58113.710938,221.026978,46.166653,489.787140,5934.217285,4461.538086,0.000000,4.718525,4.764278,2.344445,1.664328,2.690007,3.773363,3.649485,0.000000,9771.000000
34478.796875,14614.509766,277.690674,99.293304,721.268005,5974.299805,5184.597656,99998.000000,4.537552,4.164784,2.443561,1.996920,2.858097,3.776287,3.714715,4.999991,10250.000000
33838.082031,24187.144531,202.065063,33.051514,148.682465,9751.707031,4848.266602,0.000000,4.529406,4.383584,2.305491,1.519191,2.172260,3.989081,3.685586,0.000000,10419.000000
47096.062500,85501.671875,388.236542,54.437241,863.937195,5917.531250,5425.304199,99998.000000,4.672985,4.931974,2.589096,1.735896,2.936482,3.772141,3.734424,4.999991,10733.000000
45766.531250,22441.767578,150.585129,28.906967,892.427856,4741.676758,4679.108398,99998.000000,4.660548,4.351057,2.177782,1.461003,2.950573,3.675932,3.670163,4.999991,10959.000000
31924.029297,17059.849609,193.615616,34.294258,1000.512878,7183.532227,4291.929199,0.000000,4.504117,4.231975,2.286940,1.535221,3.000223,3.856338,3.632653,0.000000,11821.000000
62084.269531,59029.875000,275.396362,91.386597,1490.296875,5476.861816,5721.038086,50190.136719,4.792982,4.771072,2.439958,1.960883,3.173273,3.738532,3.757475,4.700618,14306.000000
40036.148438,23521.267578,117.459610,54.656185,560.216675,5078.942383,5256.387695,21898.373047,4.602452,4.371461,2.069889,1.737639,2.748356,3.705773,3.720687,4.340412,16286.000000
30154.638672,27595.320312,346.939117,46.613796,329.189117,8411.899414,6361.595703,0.000000,4.479354,4.440835,2.540253,1.668514,2.517446,3.924894,3.803566,0.000000,16363.000000
28673.003906,34019.183594,103.123306,45.229195,540.508484,3017.219482,3146.614502,99998.000000,4.457473,4.531724,2.013357,1.655419,2.732803,3.479607,3.497844,4.999991,17835.000000
15836.657227,31501.333984,55.590557,45.528320,919.432129,4329.044922,3850.333984,0.000000,4.199664,4.498329,1.745001,1.658282,2.963520,3.636392,3.585498,0.000000,18785.000000
31733.535156,17164.984375,246.662094,32.360756,703.659851,6763.416016,5558.078125,2430.612305,4.501518,4.234643,2.392102,1.510019,2.847363,3.830166,3.744925,3.385716,20563.000000
44414.289062,34916.207031,215.109283,35.592514,517.550049,6385.658203,5636.527832,0.000000,4.647523,4.543027,2.332659,1.551359,2.713952,3.805206,3.751012,0.000000,22941.000000
66872.726562,30273.480469,201.762863,67.021980,1334.629761,2248.205811,2287.143066,99998.000000,4.825249,4.481062,2.304841,1.826217,3.125361,3.351836,3.359293,4.999991,23207.000000
15847.114258,19876.373047,105.531708,33.680595,1339.776611,5138.150391,4968.819336,36470.371094,4.199950,4.298337,2.023383,1.527380,3.127032,3.710807,3.696253,4.561940,23919.000000
20562.810547,36388.906250,309.212646,141.898239,1461.679810,3249.283203,4270.238770,99998.000000,4.313083,4.560969,2.490257,2.151977,3.164852,3.511788,3.630452,4.999991,25767.000000
23325.082031,18876.646484,262.450836,35.648022,591.994568,5931.173828,5926.170410,671.741150,4.367823,4.275925,2.419048,1.552035,2.772318,3.773141,3.772774,2.827202,25881.000000
30321.179688,31780.761719,184.327393,74.854675,751.966614,7698.917480,5821.064453,99998.000000,4.481746,4.502164,2.265590,1.874219,2.876199,3.886430,3.765002,4.999991,26423.000000
42332.398438,23633.927734,191.765381,107.545387,691.250854,3330.866455,4294.383301,99998.000000,4.626673,4.373536,2.282770,2.031592,2.839636,3.522557,3.632901,4.999991,26741.000000
29730.562500,21968.304688,81.706741,81.928772,729.270264,4048.147217,3196.503906,99998.000000,4.473203,4.341796,1.912258,1.913436,2.862889,3.607256,3.504675,4.999991,27907.000000
28668.986328,15995.828125,195.148239,45.697926,382.072144,6805.154785,6121.284180,99998.000000,4.457412,4.204007,2.290365,1.659896,2.582145,3.832838,3.786843,4.999991,28492.000000
39945.109375,32830.800781,298.021759,65.736061,1002.249023,3573.689209,3152.205322,15718.862305,4.601464,4.516282,2.474248,1.817804,3.000976,3.553117,3.498615,4.196421,29430.000000
72055.687500,32903.632812,219.198318,39.040134,261.451721,4385.890625,5071.872559,99998.000000,4.857668,4.517244,2.340837,1.591511,2.417392,3.642058,3.705168,4.999991,29967.000000
44591.726562,41026.792969,392.436584,34.414524,380.878754,3655.433105,3346.689941,99998.000000,4.649254,4.613068,2.593770,1.536742,2.580787,3.562939,3.524616,4.999991,30883.000000
31577.003906,23522.429688,184.648102,32.551945,453.901672,6401.480957,3116.003174,99998.000000,4.499371,4.371482,2.266345,1.512577,2.656962,3.806280,3.493598,4.999991,31540.000000
33815.441406,18289.183594,305.524506,54.316975,735.400757,5354.323242,4758.523926,99998.000000,4.529115,4.262194,2.485046,1.734936,2.866524,3.728705,3.677472,4.999991,32083.000000
36056.746094,22104.011719,100.875259,46.613796,782.304443,6758.769043,2735.829834,99998.000000,4.556986,4.344471,2.003785,1.668514,2.893376,3.829868,3.437089,4.999991,33262.000000
37301.808594,35873.187500,144.954224,70.670044,1258.961060,4768.440918,5099.300781,99998.000000,4.571730,4.554770,2.161231,1.849235,3.100012,3.678376,3.707511,4.999991,35108.000000
70792.554688,29585.529297,219.478943,26.606499,820.644531,7516.946289,6412.687988,99998.000000,4.849988,4.471079,2.341393,1.424988,2.914155,3.876041,3.807040,4.999991,35663.000000
37681.789062,31894.064453,140.038742,67.839172,927.977173,5477.771484,5525.608887,99998.000000,4.576131,4.503710,2.146248,1.831481,2.967537,3.738604,3.742380,4.999991,35707.000000
21762.691406,56430.519531,231.052216,155.870651,2361.601074,5283.128906,4747.990723,19709.630859,4.337713,4.751514,2.363710,2.192764,3.373207,3.722891,3.676510,4.294679,37013.000000
45827.386719,23088.859375,227.512085,35.734364,262.802399,4194.415039,3368.939453,0.000000,4.661125,4.363402,2.357004,1.553086,2.419629,3.622671,3.527493,0.000000,39094.000000
44749.285156,40277.324219,263.884766,109.614578,771.107361,2633.926025,2865.072754,99998.000000,4.650786,4.605061,2.421414,2.039868,2.887115,3.420604,3.457136,4.999991,39308.000000
37560.320312,35394.402344,44.122135,82.631866,262.305908,6619.455078,5293.905273,3866.290527,4.574729,4.548934,1.644657,1.917148,2.418808,3.820822,3.723776,3.587295,39725.000000
24463.505859,24524.845703,81.817757,29.455873,246.029922,7477.394043,8374.274414,99998.000000,4.388519,4.389606,1.912848,1.469172,2.390988,3.873750,3.922947,4.999991,39925.000000
33862.003906,36281.332031,337.197571,51.196232,753.733582,7095.325195,5475.284180,32343.685547,4.529713,4.559683,2.527884,1.709238,2.877218,3.850972,3.738407,4.509789,41316.000000
34027.359375,23353.996094,173.571320,28.721943,605.035706,4478.297852,4086.203125,99998.000000,4.531828,4.368361,2.239478,1.458214,2.781781,3.651113,3.611320,4.999991,42204.000000
79659.617188,76543.382812,416.021027,62.294605,508.795319,2968.194092,950.724854,0.000000,4.901238,4.883908,2.619115,1.794450,2.706543,3.472492,2.978055,0.000000,42305.000000
30482.853516,37566.878906,267.505096,79.119484,1234.152344,6914.756836,7728.026367,23542.703125,4.484056,4.574805,2.427332,1.898283,3.091369,3.839777,3.888069,4.371856,43768.000000
37269.183594,25057.484375,366.289581,14.675512,518.897644,5473.481934,4284.138184,17941.216797,4.571350,4.398938,2.563825,1.166593,2.715082,3.738264,3.631863,4.253852,44327.000000
25617.195312,73410.539062,335.535431,98.725899,2737.459473,4294.846191,4031.874756,99998.000000,4.408532,4.865758,2.525738,1.994431,3.437348,3.632948,3.605507,4.999991,44541.000000
64011.781250,68265.351562,415.102081,74.456871,630.072571,5373.982422,5754.217285,0.000000,4.806260,4.834200,2.618155,1.871905,2.799391,3.730296,3.759986,0.000000,45132.000000
63856.390625,53409.144531,289.325623,60.993267,1235.250122,4954.482910,4209.379395,24730.785156,4.805204,4.727616,2.461387,1.785282,3.091755,3.694998,3.624218,4.393238,48711.000000
16551.261719,61236.132812,0.000000,27.790653,284.931305,3729.242432,4155.884766,99998.000000,4.218831,4.787008,0.000000,1.443899,2.454740,3.571621,3.618664,4.999991,49784.000000
51994.777344,51533.277344,378.269897,67.021980,583.110352,5918.138672,4506.729492,99998.000000,4.715960,4.712088,2.577802,1.826217,2.765751,3.772185,3.653862,4.999991,50933.000000
23706.906250,11670.733398,0.000000,38.207523,305.308624,4514.855469,3803.001953,99998.000000,4.374875,4.067098,0.000000,1.582149,2.484739,3.654644,3.580127,4.999991,51630.000000
37092.750000,33592.406250,216.049820,61.276974,733.525879,5431.185547,3909.040527,12388.271484,4.569289,4.526241,2.334554,1.787297,2.865415,3.734895,3.592070,4.093011,52114.000000
