FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
69279.117188,26938.236328,215.966553,28.126781,725.973755,4635.000977,2516.625488,99998.000000,4.840602,4.430369,2.334387,1.449120,2.860921,3.666050,3.400819,4.999991,16624.000000
37994.046875,49476.167969,120.580353,9.473246,568.370056,6260.180664,5378.663086,99998.000000,4.579716,4.694396,2.081277,0.976499,2.754631,3.796587,3.730674,4.999991,17764.000000
49050.277344,26800.373047,295.119965,40.329136,817.764343,6291.706055,4406.430176,0.000000,4.690641,4.428141,2.469999,1.605619,2.912628,3.798769,3.644087,0.000000,19241.000000
27994.611328,42403.121094,272.741272,38.451138,700.687134,5773.203125,4950.078613,1018.286865,4.447074,4.627398,2.435751,1.584909,2.845524,3.761417,3.694612,3.007870,20409.000000
35865.980469,24597.593750,226.053467,30.239141,388.036102,8519.115234,5931.390625,9630.860352,4.554683,4.390893,2.354211,1.480569,2.588872,3.930394,3.773157,3.983665,20725.000000
68997.125000,47895.554688,240.318848,38.395630,401.660065,6059.867188,5712.573730,99998.000000,4.838831,4.680295,2.380788,1.584282,2.603859,3.782463,3.756832,4.999991,20938.000000
34036.046875,46192.144531,244.932114,47.736275,367.831451,4603.343750,4027.190186,0.000000,4.531939,4.664568,2.389046,1.678849,2.565649,3.663073,3.605002,0.000000,21316.000000
71534.070312,40540.011719,243.760300,62.482716,673.895569,6423.350586,5814.918945,85848.578125,4.854513,4.607884,2.386963,1.795760,2.828593,3.807762,3.764544,4.933733,24950.000000
39494.035156,39072.253906,275.544403,54.875130,724.459656,5679.000977,2859.604004,99998.000000,4.596531,4.591868,2.440192,1.739376,2.860014,3.754272,3.456306,4.999991,25192.000000
52341.113281,41526.003906,231.286575,84.297081,945.199829,4737.344238,4312.081055,99998.000000,4.718843,4.618320,2.364151,1.925812,2.975524,3.675535,3.634687,4.999991,25460.000000
58839.449219,58845.414062,306.976929,70.013206,550.305542,5263.430176,5217.131836,99998.000000,4.769669,4.769712,2.487106,1.845180,2.740604,3.721269,3.717432,4.999991,25768.000000
35876.953125,55683.945312,246.329056,45.216862,317.470917,6172.898926,4855.210449,99998.000000,4.554816,4.745730,2.391516,1.655300,2.501704,3.790489,3.686208,4.999991,26590.000000
47931.382812,33555.179688,329.657837,35.666523,520.957581,5644.392090,5409.737305,99998.000000,4.680620,4.525760,2.518063,1.552261,2.716802,3.751617,3.733176,4.999991,26884.000000
62165.656250,59527.285156,359.681122,30.794214,329.201447,6591.886230,2677.613281,0.000000,4.793550,4.774716,2.555918,1.488469,2.517462,3.819010,3.427748,0.000000,28135.000000
24766.082031,20305.556641,103.101723,38.750259,610.944153,7855.297363,6103.921875,2557.897217,4.393857,4.307615,2.013266,1.588275,2.786001,3.895163,3.785609,3.407883,28253.000000
36567.152344,28541.173828,160.496262,52.124435,382.917084,6561.979980,5461.633301,99998.000000,4.563091,4.455472,2.205465,1.717041,2.583105,3.817035,3.737323,4.999991,28284.000000
34934.453125,29053.833984,120.515594,62.384033,791.299683,5092.587891,4546.699219,0.000000,4.543254,4.463203,2.081043,1.795073,2.898341,3.706939,3.657696,0.000000,28319.000000
33917.316406,36413.699219,173.858109,39.200485,614.009399,4685.969238,4084.923340,0.000000,4.530421,4.561265,2.240195,1.593291,2.788175,3.670799,3.611184,0.000000,28461.000000
28347.083984,13358.675781,235.680908,48.254345,312.327240,6301.160645,4265.500977,32649.373047,4.452508,4.125763,2.372324,1.683536,2.494610,3.799421,3.629970,4.513875,29356.000000
43411.558594,42212.234375,330.922180,35.882385,1154.431519,4088.081543,1729.248657,99998.000000,4.637605,4.625438,2.519726,1.554881,3.062368,3.611520,3.237857,4.999991,29599.000000
39868.765625,26219.205078,232.470734,81.225677,609.673645,5833.668945,4356.654297,1441.972534,4.600633,4.418620,2.366368,1.909693,2.785097,3.765942,3.639153,3.158957,30088.000000
33938.242188,23625.628906,210.357239,38.300034,593.345276,5212.474609,4290.399902,0.000000,4.530689,4.373384,2.322958,1.583199,2.773308,3.717044,3.632498,0.000000,30355.000000
36782.308594,35616.539062,169.432938,21.626261,284.872711,6952.921387,3848.277588,0.000000,4.565639,4.551651,2.228998,1.334981,2.454651,3.842167,3.585266,0.000000,32350.000000
93155.921875,81495.554688,577.633606,80.596596,1222.918335,6679.439941,5211.209473,0.000000,4.969211,4.911134,2.761652,1.906317,3.087398,3.824740,3.716938,0.000000,32662.000000
31882.753906,54419.183594,286.254211,30.547516,326.290405,6004.872070,6097.603027,0.000000,4.503556,4.735752,2.456752,1.484976,2.513604,3.778504,3.785159,0.000000,33616.000000
57321.632812,39236.253906,271.005127,47.532749,744.630371,5635.942871,4892.244141,99998.000000,4.758318,4.593688,2.432977,1.676993,2.871941,3.750967,3.689508,4.999991,34686.000000
62120.882812,50784.167969,376.956238,73.759949,267.828888,5264.256348,4250.927734,0.000000,4.793238,4.705729,2.576291,1.867821,2.427857,3.721337,3.628484,0.000000,34717.000000
53002.636719,44197.824219,401.616882,23.010859,820.379333,3684.978271,3968.294678,99998.000000,4.724298,4.645401,2.603812,1.361933,2.914015,3.566435,3.598604,4.999991,36461.000000
47350.914062,22822.615234,248.743622,60.650974,746.560791,4112.600586,2950.876221,0.000000,4.675328,4.358366,2.395752,1.782838,2.873065,3.614116,3.469951,0.000000,36566.000000
34154.582031,60838.945312,373.477753,94.485756,1418.590698,4335.594727,2478.273193,0.000000,4.533449,4.784182,2.572265,1.975366,3.151857,3.637049,3.394149,0.000000,36584.000000
40812.699219,50004.878906,166.901199,61.239967,693.662354,6270.128906,3396.195801,0.000000,4.610795,4.699012,2.222460,1.787035,2.841148,3.797276,3.530993,0.000000,36904.000000
69320.890625,77759.164062,555.014404,85.922211,1369.537720,6827.012207,4945.000000,99998.000000,4.840864,4.890751,2.744304,1.934105,3.136574,3.834231,3.694166,4.999991,37026.000000
40334.625000,38046.343750,141.451096,38.139683,824.998779,6270.458984,3981.291260,17526.984375,4.605678,4.580313,2.150606,1.581377,2.916453,3.797299,3.600024,4.243707,37164.000000
31575.097656,18214.792969,284.379303,39.228241,45.312458,6573.568848,2927.274902,99998.000000,4.499345,4.260424,2.453898,1.593599,1.656218,3.817801,3.466464,4.999991,37766.000000
76837.835938,31915.962891,240.596375,56.139465,513.121765,4068.940918,4138.773926,99998.000000,4.885575,4.504008,2.381289,1.749268,2.710220,3.609481,3.616872,4.999991,37943.000000
55475.460938,66047.125000,329.053436,54.828876,1071.272339,3895.280029,1552.671753,99998.000000,4.744101,4.819854,2.517267,1.739009,3.029900,3.590539,3.191080,4.999991,38177.000000
51234.273438,56249.171875,228.856583,47.138031,756.737183,10001.810547,6933.303711,99998.000000,4.709560,4.750116,2.359563,1.673371,2.878945,4.000079,3.840940,4.999991,38261.000000
78152.171875,52790.781250,445.976471,54.637684,527.957642,4790.736328,5080.543457,43131.777344,4.892941,4.722558,2.649312,1.737492,2.722599,3.680402,3.705910,4.634798,38879.000000
71937.015625,68186.140625,349.073059,80.599678,1435.283081,3668.539062,2590.770264,99998.000000,4.856952,4.833696,2.542916,1.906333,3.156938,3.564493,3.413429,4.999991,39253.000000
