FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
25187.306641,22400.371094,218.899200,29.267765,715.304016,4470.125977,3739.858887,0.000000,4.401182,4.350255,2.340244,1.466390,2.854491,3.650320,3.572855,0.000000,191.000000
30851.363281,37867.960938,99.678772,66.596420,635.240906,6539.024902,6375.314453,6182.074707,4.489275,4.578272,1.998603,1.823451,2.802938,3.815513,3.804502,3.791134,370.000000
30180.271484,14149.442383,72.844078,43.838428,410.380859,7430.459473,5623.424805,0.000000,4.479723,4.150739,1.862394,1.641855,2.613187,3.871016,3.750001,0.000000,466.000000
62067.937500,61403.281250,402.027008,94.309982,731.308655,7962.984375,5965.936523,0.000000,4.792867,4.788192,2.604255,1.974558,2.864101,3.901076,3.775679,0.000000,2025.000000
25913.070312,17632.753906,212.901321,43.132256,522.169495,5552.478027,5459.848633,52349.687500,4.413519,4.246320,2.328178,1.634802,2.717812,3.744487,3.737181,4.718914,3992.000000
99998.000000,79189.656250,397.826965,61.455830,1116.886963,5104.266113,6803.850586,99998.000000,4.999991,4.898668,2.599694,1.788563,3.048009,3.707933,3.832755,4.999991,4919.000000
24609.638672,32561.830078,158.078613,49.793129,407.004181,4098.026855,4489.553223,99998.000000,4.391105,4.512709,2.198873,1.697169,2.609599,3.612575,3.652203,4.999991,5391.000000
82757.250000,81661.265625,268.183502,87.664528,939.750854,2623.561768,2484.020752,99998.000000,4.917806,4.912016,2.428432,1.942824,2.973013,3.418891,3.395155,4.999991,5463.000000
27364.076172,25948.607422,186.060455,20.087475,49.401493,6385.596680,3914.972656,99998.000000,4.437181,4.414114,2.269654,1.302925,1.693740,3.805202,3.592729,4.999991,6122.000000
34796.167969,39638.609375,354.645386,68.252388,662.778748,3688.571045,3213.214355,16794.177734,4.541532,4.598118,2.549794,1.834118,2.821368,3.566858,3.506940,4.225159,6376.000000
30647.621094,13774.357422,201.109100,41.837082,734.441711,7377.197266,3205.322021,0.000000,4.486397,4.139071,2.303432,1.621561,2.865957,3.867891,3.505872,0.000000,6983.000000
33418.191406,24470.986328,283.537445,34.396023,295.631866,3607.940430,3124.467773,99998.000000,4.523983,4.388651,2.452610,1.536508,2.470751,3.557259,3.494776,4.999991,8193.000000
28441.285156,37880.316406,174.292908,57.971207,808.408264,5184.387695,4036.764160,0.000000,4.453949,4.578413,2.241280,1.763212,2.907631,3.714697,3.606033,0.000000,10123.000000
24949.744141,31369.660156,161.729767,38.290783,299.455688,5321.728027,4079.706787,0.000000,4.397066,4.496510,2.208790,1.583094,2.476333,3.726053,3.610629,0.000000,11902.000000
51714.488281,29600.740234,172.325485,66.374390,692.632385,5098.721680,3074.171875,99998.000000,4.713612,4.471303,2.236350,1.822001,2.840503,3.707461,3.487728,4.999991,12655.000000
