FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
39224.257812,24996.404297,188.209824,38.774933,672.791626,6423.174805,3594.443604,0.000000,4.593554,4.397878,2.274642,1.588551,2.827881,3.807750,3.555632,0.000000,507.000000
30919.603516,22398.082031,160.018280,11.323488,125.569839,4106.208008,2303.623535,99998.000000,4.490234,4.350211,2.204170,1.053980,2.098885,3.613441,3.362411,4.999991,569.000000
58054.664062,53537.769531,499.870972,68.980148,949.396790,5964.684570,4001.369629,0.000000,4.763837,4.728660,2.698858,1.838724,2.977448,3.775588,3.602209,0.000000,1053.000000
41811.457031,55827.402344,273.968597,66.957222,958.950256,2387.282471,1642.911499,99998.000000,4.621295,4.746848,2.437701,1.825797,2.981796,3.377904,3.215614,4.999991,3053.000000
44699.519531,56437.117188,456.874390,48.374611,567.926025,4398.222656,3432.727539,0.000000,4.650303,4.751565,2.659797,1.684618,2.754292,3.643277,3.535639,0.000000,3802.000000
43128.828125,43225.742188,439.494446,53.798904,483.715271,6397.370117,7250.932129,99998.000000,4.634768,4.635743,2.642953,1.730773,2.684590,3.806001,3.860394,4.999991,4566.000000
36456.687500,35343.410156,464.263031,67.543129,743.430847,4570.174805,3112.305664,99998.000000,4.561777,4.548308,2.666764,1.829581,2.871241,3.659933,3.493082,4.999991,5731.000000
53780.328125,19733.626953,326.900970,48.753910,324.430908,4700.974609,4441.969238,99998.000000,4.730623,4.295207,2.514416,1.688010,2.511122,3.672188,3.647576,4.999991,12385.000000
45518.046875,33968.250000,126.877350,66.506996,225.982544,3794.864258,2928.731689,2862.433838,4.658184,4.531073,2.103384,1.822867,2.354075,3.579196,3.466680,3.456735,12616.000000
47263.593750,26252.115234,6914.454590,200.680466,857.556885,4705.924316,2946.476807,99998.000000,4.674527,4.419164,3.839758,2.302505,2.933263,3.672645,3.469303,4.999991,15335.000000
74954.632812,63060.464844,15763.917969,519.906006,1067.322021,5134.844238,3436.272949,0.000000,4.874798,4.799757,4.197664,2.715925,3.028296,3.710527,3.536088,0.000000,16050.000000
50078.171875,24301.750000,8824.112305,248.197800,603.123779,5368.727539,5488.562012,99998.000000,4.699648,4.385638,3.945671,2.394798,2.780406,3.729871,3.739459,4.999991,18298.000000
51377.320312,66218.234375,480.082611,59.472984,533.397400,4812.399414,3625.628662,0.000000,4.710772,4.820978,2.681316,1.774320,2.727051,3.682362,3.559383,0.000000,20685.000000
22354.617188,14827.312500,113.629608,42.062195,192.776840,4922.874512,4205.274902,99998.000000,4.349367,4.171062,2.055491,1.623892,2.285055,3.692219,3.623794,4.999991,22595.000000
70087.906250,60176.804688,258.802765,73.966560,775.276611,5085.279297,4058.793213,5905.880371,4.845643,4.779429,2.412969,1.869035,2.889457,3.706315,3.608397,3.771285,25740.000000
31958.736328,16303.917969,238.672134,35.786789,683.097473,4119.832031,3408.633789,0.000000,4.504590,4.212292,2.377802,1.553723,2.834483,3.614880,3.532580,0.000000,26352.000000
69773.765625,38707.187500,14819.883789,429.367462,1944.183228,5591.200684,5233.491699,99998.000000,4.843692,4.587791,4.170845,2.632829,3.288737,3.747505,3.718791,4.999991,26867.000000
75893.335938,40243.253906,8465.972656,302.046051,2317.343262,4194.513672,4661.713379,99998.000000,4.880204,4.604693,3.927677,2.480073,3.364990,3.622682,3.668545,4.999991,27012.000000
40384.175781,21414.851562,36.995613,13.272411,239.702103,5477.086914,3844.531494,0.000000,4.606211,4.330715,1.568150,1.122950,2.379672,3.738550,3.584843,0.000000,28667.000000
32482.531250,30678.568359,251.438812,54.144283,904.303284,3855.157471,2825.904297,17077.960938,4.511650,4.486835,2.400432,1.733553,2.956314,3.586042,3.451157,4.232436,32105.000000
37520.050781,27988.675781,353.513641,24.777842,191.771545,4145.726074,3380.382812,99998.000000,4.574264,4.446982,2.548406,1.394063,2.282784,3.617601,3.528966,4.999991,34535.000000
46109.406250,23048.646484,10765.560547,307.584442,844.306091,4366.561523,2551.375488,0.000000,4.663790,4.362646,4.032037,2.487964,2.926500,3.640140,3.406774,0.000000,35110.000000
72387.312500,50332.675781,16708.833984,537.381592,1139.197876,3298.394775,3378.918945,99998.000000,4.859663,4.701850,4.222946,2.730283,3.056599,3.518303,3.528778,4.999991,36254.000000
61155.906250,47406.078125,14936.045898,510.926178,1398.009888,4854.551270,5253.983398,99998.000000,4.786438,4.675834,4.174236,2.708358,3.145510,3.686149,3.720489,4.999991,36418.000000
98504.070312,92973.687500,633.202576,72.282837,580.381226,3725.680664,3336.770264,99998.000000,4.993454,4.968360,2.801543,1.859035,2.763713,3.571206,3.523326,4.999991,36564.000000
44926.593750,84596.148438,1788.784302,121.231018,752.204041,7393.251465,6846.115723,99998.000000,4.652503,4.927351,3.252558,2.083614,2.876336,3.868835,3.835444,4.999991,38482.000000
43566.105469,44504.097656,445.301117,30.572186,1288.845581,5282.750000,4526.999023,99998.000000,4.639149,4.648400,2.648654,1.485327,3.110201,3.722860,3.655810,4.999991,39701.000000
41016.285156,34415.140625,340.722290,42.080700,272.281799,7043.598633,4493.400391,0.000000,4.612957,4.536749,2.532401,1.624083,2.435019,3.847795,3.652575,0.000000,39931.000000
36979.187500,42126.691406,323.730896,61.992401,731.333313,6540.659180,5637.839355,49249.367188,4.567957,4.624557,2.510184,1.792338,2.864115,3.815622,3.751113,4.692400,42216.000000
82799.546875,36233.308594,10036.500000,314.862061,652.041138,3714.196777,3760.157227,99998.000000,4.918028,4.559108,4.001582,2.498120,2.814275,3.569865,3.575206,4.999991,42831.000000
40084.679688,45932.132812,136.702133,29.508297,216.000488,5869.443359,4723.027344,12249.756836,4.602978,4.662117,2.135775,1.469944,2.334455,3.768597,3.674221,4.088128,46337.000000
65858.726562,49352.089844,13466.243164,387.376190,969.774170,7953.865723,4162.963379,99998.000000,4.818614,4.693305,4.129246,2.588133,2.986670,3.900578,3.619403,4.999991,46912.000000
31444.150391,37328.449219,304.809082,50.394459,150.387772,2438.185791,1984.064331,99998.000000,4.497540,4.572040,2.484028,1.702383,2.177212,3.387067,3.297556,4.999991,47154.000000
68783.937500,47271.468750,7991.675293,285.856415,559.550537,7171.545898,2332.855225,0.000000,4.837487,4.674599,3.902638,2.456148,2.747839,3.855613,3.367888,0.000000,48129.000000
50846.226562,27923.210938,6559.698242,217.021194,685.613831,4524.850098,4820.979492,38613.039062,4.706259,4.445965,3.816884,2.336502,2.836080,3.655604,3.683135,4.586734,48612.000000
43857.710938,56302.007812,359.345001,76.982452,656.857910,9294.098633,4127.693359,0.000000,4.642046,4.750524,2.555512,1.886392,2.817472,3.968207,3.615707,0.000000,52361.000000
43591.562500,34170.304688,300.750885,11.514681,432.586884,3453.895264,2622.283203,99998.000000,4.639402,4.533649,2.478207,1.061252,2.636073,3.538309,3.418679,4.999991,53541.000000
33096.246094,29257.406250,271.819244,27.263334,410.609070,5965.609863,4289.295410,0.000000,4.519779,4.466236,2.434280,1.435579,2.613429,3.775655,3.632386,0.000000,53809.000000
27289.367188,17109.386719,285.205750,34.439194,168.581833,8872.619141,8204.761719,99998.000000,4.435994,4.233234,2.455158,1.537053,2.226811,3.948052,3.914066,4.999991,54377.000000
81879.898438,54210.585938,9522.597656,306.545227,640.813232,4750.817383,3910.212646,16911.248047,4.913177,4.734084,3.978755,2.486495,2.806731,3.676768,3.592200,4.228176,54576.000000
47006.222656,46028.207031,257.094391,63.019283,327.061340,5721.510254,3373.260742,99998.000000,4.672155,4.663024,2.410093,1.799473,2.514629,3.757511,3.528050,4.999991,54665.000000
38122.281250,19597.638672,243.723297,19.991879,457.238281,5426.300781,4764.784668,99998.000000,4.581179,4.292204,2.386897,1.300854,2.660143,3.734504,3.678043,4.999991,54826.000000
53390.238281,59890.093750,16343.938477,578.774597,1480.444336,3852.120117,3719.270508,0.000000,4.727462,4.777355,4.213356,2.762509,3.170392,3.585700,3.570458,0.000000,55299.000000
52564.566406,46909.699219,255.450745,60.903839,227.493576,6318.158203,5228.674316,99998.000000,4.720693,4.671263,2.407307,1.784645,2.356969,3.800591,3.718392,4.999991,57345.000000
67950.679688,36570.160156,363.609802,37.251564,1065.197388,6722.473145,2753.035645,0.000000,4.832194,4.563127,2.560636,1.571144,3.027430,3.827529,3.439812,0.000000,59075.000000
61879.183594,40694.261719,14545.341797,435.467072,1569.083374,5709.320312,4658.906250,0.000000,4.791544,4.609533,4.162724,2.638955,3.195646,3.756584,3.668284,0.000000,60380.000000
45962.742188,34513.113281,9944.045898,323.474945,1018.349243,7061.074219,6185.307129,99998.000000,4.662406,4.537984,3.997563,2.509841,3.007897,3.848871,3.791361,4.999991,61886.000000
64258.246094,30990.699219,9588.620117,264.664948,197.618317,6895.128906,7266.729004,99998.000000,4.807929,4.491231,3.981756,2.422696,2.295827,3.838542,3.861339,4.999991,62253.000000
52785.625000,54253.523438,15948.260742,441.505035,1186.844727,5505.488281,4871.791504,0.000000,4.722516,4.734428,4.202713,2.644936,3.074394,3.740796,3.687689,0.000000,64903.000000
55191.894531,30543.482422,11225.388672,396.537964,536.064819,5125.466797,3303.267334,0.000000,4.741875,4.484919,4.050201,2.598285,2.729217,3.709733,3.518944,0.000000,65639.000000
27567.453125,28854.914062,415.015717,100.708740,1407.998169,6089.915527,5580.731445,27045.060547,4.440397,4.460220,2.618065,2.003067,3.148602,3.784611,3.746691,4.432088,66064.000000
64183.351562,33599.250000,8637.958984,281.594696,932.972839,3499.821533,1067.561279,99998.000000,4.807422,4.526330,3.936411,2.449625,2.969869,3.544046,3.028393,4.999991,66245.000000
32506.251953,31638.394531,446.442108,35.216297,210.687195,7802.629883,5913.023926,99998.000000,4.511967,4.500215,2.649765,1.546744,2.323638,3.892241,3.771810,4.999991,66439.000000
62607.796875,33806.710938,1107.672852,66.516243,584.013855,5826.458984,4048.873291,0.000000,4.796628,4.529003,3.044411,1.822928,2.766423,3.765405,3.607334,0.000000,67881.000000
77871.062500,50130.156250,11503.264648,363.165741,1436.510376,3862.570801,4208.795410,99998.000000,4.891376,4.700099,4.060821,2.560105,3.157309,3.586876,3.624158,4.999991,68238.000000
40958.968750,19995.054688,296.128357,43.089081,195.647812,3507.761963,2442.446533,99998.000000,4.612349,4.300922,2.471480,1.634367,2.291475,3.545030,3.387825,4.999991,68977.000000
38051.121094,29608.884766,143.063889,36.326443,171.492874,4805.815430,5152.739746,99998.000000,4.580368,4.471422,2.155530,1.560223,2.234246,3.681767,3.712038,4.999991,71182.000000
58980.394531,30216.736328,5333.584961,171.113586,915.454102,5774.029297,5632.022949,99998.000000,4.770708,4.480247,3.727019,2.233284,2.961637,3.761479,3.750664,4.999991,71578.000000
28654.498047,19626.128906,277.869537,60.176079,260.249054,4341.953613,4950.650391,99998.000000,4.457193,4.292835,2.443841,1.779424,2.415389,3.637685,3.694662,4.999991,73901.000000
66822.398438,46769.320312,13250.440430,460.892517,1331.370239,7183.920898,4854.036133,99998.000000,4.824922,4.669961,4.122231,2.663600,3.124299,3.856362,3.686103,4.999991,74710.000000
33098.339844,38281.421875,296.088257,36.307941,631.904297,5457.789062,4446.612305,99998.000000,4.519806,4.582988,2.471421,1.560002,2.800651,3.737017,3.648029,4.999991,76327.000000
54889.613281,67240.945312,644.754272,107.431290,426.083252,6148.299805,5494.157715,48401.246094,4.739490,4.827634,2.809394,2.031131,2.629494,3.788755,3.739901,4.684856,77301.000000
14998.031250,19706.962891,209.348862,26.384468,527.572205,5757.670410,4827.975586,12924.895508,4.176034,4.294620,2.320871,1.421348,2.722282,3.760247,3.683765,4.111427,80595.000000
48052.992188,99998.000000,31674.986328,997.194763,2718.189209,4806.950684,4883.652344,36905.078125,4.681720,4.999991,4.500716,2.998780,3.434280,3.681870,3.688745,4.567086,80800.000000
