FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
30987.066406,23013.498047,335.005035,177.040527,6677.543457,8488.965820,7285.874512,0.000000,4.491180,4.361983,2.525051,2.248073,3.824617,3.928855,3.862482,0.000000,101.000000
56454.886719,45371.921875,474.087830,328.615540,8939.397461,4625.154785,4298.797363,99998.000000,4.751701,4.656787,2.675859,2.516688,3.951308,3.665126,3.633347,4.999991,369.000000
30845.238281,32479.527344,400.213776,34.062977,8974.089844,4302.854980,4884.575684,99998.000000,4.489188,4.511610,2.602292,1.532283,3.952991,3.633757,3.688827,4.999991,561.000000
45849.488281,45978.980469,537.961304,347.167297,7636.185059,5755.095215,4991.115723,99998.000000,4.661335,4.662560,2.730751,2.540539,3.882876,3.760052,3.698198,4.999991,1442.000000
64987.199219,62437.347656,14650.555664,439.540710,10799.610352,10100.111328,7742.870117,0.000000,4.812828,4.795444,4.165854,2.642999,4.033408,4.004326,3.888902,0.000000,1653.000000
72952.437500,57653.109375,20257.640625,521.481812,10650.080078,6582.724609,5021.873047,0.000000,4.863040,4.760823,4.306589,2.717239,4.027353,3.818406,3.700866,0.000000,3330.000000
77389.656250,57194.363281,13874.804688,477.279510,11322.557617,4771.709473,3363.002930,0.000000,4.888683,4.757353,4.142227,2.678773,4.053945,3.678674,3.526727,0.000000,3489.000000
42110.285156,21296.925781,62.569057,235.529800,8161.956543,7079.033691,6348.002930,99998.000000,4.624388,4.328317,1.796360,2.372046,3.911794,3.849974,3.802637,4.999991,3629.000000
53832.847656,37846.582031,20089.777344,896.547729,7354.864746,5927.266602,4794.870605,0.000000,4.731047,4.578027,4.302975,2.952573,3.866575,3.772855,3.680777,0.000000,3687.000000
84471.218750,70717.164062,24376.169922,707.708801,11667.667969,5499.182129,3400.392334,99998.000000,4.926709,4.849525,4.386965,2.849855,4.066984,3.740298,3.531529,4.999991,5046.000000
64127.050781,46831.988281,17961.576172,474.550385,9655.661133,8394.683594,4475.821777,0.000000,4.807041,4.670543,4.254344,2.676282,3.984782,3.924004,3.650873,0.000000,5473.000000
34717.550781,36989.914062,289.563080,184.074539,8168.830078,7698.408691,8496.702148,99998.000000,4.540549,4.568083,2.461743,2.264994,3.912160,3.886401,3.929250,4.999991,5727.000000
54673.832031,39783.968750,417.905182,225.686508,10283.053711,5927.618164,5213.375000,67072.062500,4.737780,4.599708,2.621078,2.353506,4.012122,3.772880,3.717119,4.826541,6009.000000
62635.136719,68682.382812,392.513672,293.352997,9618.378906,11191.899414,8194.908203,0.000000,4.796818,4.836845,2.593855,2.467391,3.983102,4.048904,3.913544,0.000000,6442.000000
43280.347656,57371.511719,268.834167,226.531448,13388.200195,6455.369141,6618.836914,4027.120850,4.636291,4.758696,2.429484,2.355129,4.126722,3.809921,3.820782,3.604995,6857.000000
