FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-R-ALin,RED-R-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-R-ALog,RED-R-WLog,TIME
36599.343750,38734.199219,239.914871,81.386032,747.970093,5702.844238,4101.547852,0.000000,4.563473,4.588095,2.380057,1.910550,2.873884,3.756092,3.612948,0.000000,407.000000
32288.478516,30812.044922,116.096596,34.954178,163.675598,4442.724121,3119.288330,3316.863525,4.509048,4.488720,2.064820,1.543499,2.213984,3.647649,3.494056,3.520728,988.000000
42157.246094,41491.703125,285.729980,56.444756,299.810333,5959.158691,6238.935059,99998.000000,4.624872,4.617961,2.455956,1.751624,2.476847,3.775185,3.795110,4.999991,1488.000000
63490.589844,50649.109375,378.158875,40.156445,760.761414,4064.105469,2942.691650,99998.000000,4.802710,4.704572,2.577674,1.603755,2.881248,3.608965,3.468745,4.999991,1687.000000
43250.656250,65647.921875,312.940887,50.597984,783.550293,7444.765137,6934.805176,14455.893555,4.635993,4.817221,2.495462,1.704133,2.894067,3.871851,3.841034,4.160045,2626.000000
53950.058594,19385.912109,265.580841,49.389160,803.825867,5166.329590,4286.599609,99998.000000,4.731992,4.287486,2.424197,1.693632,2.905162,3.713182,3.632113,4.999991,2941.000000
43998.910156,27403.376953,194.522247,54.036354,677.876709,6527.103027,5455.343262,12689.911133,4.643442,4.437804,2.288969,1.732686,2.831151,3.814720,3.736822,4.103458,3000.000000
37219.796875,46728.328125,375.482208,72.107063,558.002502,4330.188965,3393.506592,0.000000,4.570774,4.669580,2.574589,1.857978,2.746636,3.636507,3.530649,0.000000,3222.000000
35103.492188,32850.652344,263.079926,32.274410,1027.788574,6691.935059,3807.498291,99998.000000,4.545351,4.516544,2.420088,1.508858,3.011904,3.825552,3.580640,4.999991,4104.000000
79841.304688,50755.652344,751.593506,124.983932,436.752991,5069.419922,4436.794922,99998.000000,4.902227,4.705484,2.875983,2.096854,2.640236,3.704958,3.647069,4.999991,4973.000000
